,serial_number,capacity_bytes,failure,smart_5_raw,smart_187_raw,smart_188_raw,smart_197_raw,smart_198_raw,smart_9_raw,smart_193_raw,smart_194_raw,smart_241_raw,smart_242_raw
11120,Z305JJHW,4000787030016,0,0.0,0.0,0.0,0.0,0.0,24293,3755.0,33,39565973800.0,113067789997.0
3564,Z302B11W,4000787030016,1,0.0,14.0,0.0,8.0,8.0,30051,51401.0,25,49364682120.0,133594335992.0
3573,Z3025L55,4000787030016,1,1144.0,3.0,0.0,920.0,920.0,36675,55604.0,25,24128363768.0,198315412876.0
20170,Z305EJ7C,4000787030016,1,16.0,27.0,0.0,16.0,16.0,24940,4351.0,28,40929844656.0,118770872758.0
3564,Z302B11W,4000787030016,1,0.0,14.0,0.0,8.0,8.0,30026,51401.0,24,49362026112.0,133464106517.0
3925,Z30398QW,4000787030016,0,0.0,0.0,0.0,0.0,0.0,28709,210254.0,24,21690155456.0,246853505827.0
3573,Z3025L55,4000787030016,1,0.0,3.0,0.0,0.0,0.0,36650,55604.0,25,24126230786.0,198273548382.0
11952,W300W0J6,4000787030016,0,0.0,0.0,0.0,0.0,0.0,21465,470.0,19,29924425072.0,108145648280.0
20171,Z305EJ7C,4000787030016,1,16.0,8.0,0.0,8.0,8.0,24915,4351.0,28,40925577928.0,118590124411.0
13996,Z304ZKSH,4000787030016,0,0.0,0.0,0.0,0.0,0.0,26474,31935.0,22,43519783800.0,101381698762.0
3568,Z302B11W,4000787030016,1,0.0,14.0,0.0,8.0,8.0,30003,51401.0,24,49360090016.0,133308854997.0
1545,Z3029GV5,4000787030016,0,0.0,0.0,1.0,0.0,0.0,35014,63255.0,28,25060224656.0,222101150971.0
3577,Z3025L55,4000787030016,1,0.0,3.0,0.0,0.0,0.0,36626,55604.0,25,24124952882.0,198239639211.0
4407,Z302ATEM,4000787030016,0,0.0,0.0,0.0,0.0,0.0,33940,55340.0,17,55576711360.0,129059931144.0
20168,Z305EJ7C,4000787030016,1,16.0,8.0,0.0,8.0,8.0,24892,4351.0,28,40921565856.0,118441099513.0
21783,Z3025LCV,4000787030016,0,0.0,0.0,0.0,0.0,0.0,36478,23250.0,24,24137021130.0,168182998706.0
3568,Z302B11W,4000787030016,1,0.0,14.0,0.0,8.0,8.0,29978,51401.0,24,49354462624.0,133168209429.0
2271,Z304KCYL,4000787030016,0,0.0,0.0,0.0,0.0,0.0,27420,15032.0,22,45596185032.0,135400548529.0
3577,Z3025L55,4000787030016,1,0.0,3.0,0.0,0.0,0.0,36603,55604.0,25,24123635895.0,198204798632.0
5425,S300XE1B,4000787030016,0,0.0,0.0,0.0,0.0,0.0,30102,37647.0,23,54432091192.0,104031176514.0
20171,Z305EJ7C,4000787030016,1,16.0,7.0,0.0,8.0,8.0,24871,4350.0,29,40919941552.0,118300003490.0
8992,Z305B6LL,4000787030016,0,0.0,0.0,0.0,0.0,0.0,26764,214330.0,19,31016735672.0,107775919194.0
3568,Z302B11W,4000787030016,1,0.0,14.0,0.0,8.0,8.0,29954,51401.0,23,49352018760.0,133093727183.0
6856,Z305DV8M,4000787030016,0,0.0,0.0,0.0,0.0,0.0,25128,8897.0,28,42065084184.0,155696391175.0
3577,Z3025L55,4000787030016,1,0.0,3.0,0.0,0.0,0.0,36578,55604.0,24,24122232293.0,198171018766.0
12407,S301NKZ7,4000787030016,0,0.0,0.0,0.0,0.0,0.0,27600,15223.0,21,48229782696.0,115926944540.0
20179,Z305EJ7C,4000787030016,1,16.0,7.0,0.0,8.0,8.0,24847,4296.0,29,40917784816.0,118144223871.0
3021,Z304QPCJ,4000787030016,0,0.0,0.0,0.0,0.0,0.0,26621,33921.0,20,44800238168.0,123498377476.0
3574,Z302B11W,4000787030016,1,0.0,14.0,0.0,8.0,8.0,29930,51401.0,24,49347259184.0,132977369678.0
19033,S300YQGT,4000787030016,0,0.0,0.0,0.0,0.0,0.0,31592,44159.0,23,54231888712.0,112386170729.0
3583,Z3025L55,4000787030016,1,0.0,3.0,0.0,0.0,0.0,36554,55604.0,25,24120864721.0,198138808980.0
20932,S300Z477,4000787030016,0,0.0,0.0,0.0,0.0,0.0,31112,158120.0,21,47421473368.0,117785325024.0
20218,Z305EJ7C,4000787030016,1,16.0,7.0,0.0,8.0,8.0,24823,4296.0,29,40913924224.0,117991832426.0
16989,Z305D68M,4000787030016,0,0.0,0.0,0.0,0.0,0.0,25398,4519.0,27,43301921248.0,105782483345.0
3574,Z302B11W,4000787030016,1,0.0,14.0,0.0,8.0,8.0,29906,51401.0,24,49344887272.0,132818137879.0
19820,Z303YQEM,4000787030016,0,0.0,0.0,0.0,0.0,0.0,28801,119894.0,28,23090258823.0,179986339899.0
3583,Z3025L55,4000787030016,1,0.0,3.0,0.0,0.0,0.0,36531,55604.0,24,24119566306.0,198104565265.0
6345,Z305D2Z0,4000787030016,0,0.0,0.0,0.0,0.0,0.0,25397,5479.0,29,44593607608.0,126164368122.0
20218,Z305EJ7C,4000787030016,1,16.0,7.0,0.0,8.0,8.0,24799,4293.0,29,40912189592.0,117819685847.0
11921,Z305D6LH,4000787030016,0,0.0,1.0,0.0,0.0,0.0,25419,4307.0,23,45020428608.0,128802720143.0
3580,Z302B11W,4000787030016,1,0.0,14.0,0.0,8.0,8.0,29882,51401.0,24,49340672464.0,132668135298.0
3034,Z304JW5S,4000787030016,0,0.0,0.0,0.0,0.0,0.0,28153,5595.0,20,47665565008.0,151636660748.0
3589,Z3025L55,4000787030016,1,0.0,3.0,0.0,0.0,0.0,36506,55604.0,25,24118196671.0,198071862635.0
16213,Z301055F,4000787030016,0,0.0,0.0,0.0,0.0,0.0,36461,82225.0,28,26064769529.0,166945114401.0
20257,Z305EJ7C,4000787030016,1,16.0,7.0,0.0,8.0,8.0,24775,4292.0,29,40910199368.0,117676733509.0
4745,Z305B6RQ,4000787030016,0,0.0,0.0,0.0,0.0,0.0,26616,199136.0,20,30866649264.0,111745519931.0
3585,Z302B11W,4000787030016,1,0.0,14.0,0.0,8.0,8.0,29858,51401.0,24,49338625256.0,132601906904.0
13166,Z3051KLK,4000787030016,0,0.0,0.0,0.0,0.0,0.0,26621,33354.0,19,44805939264.0,109455510219.0
3594,Z3025L55,4000787030016,1,0.0,3.0,0.0,0.0,0.0,36482,55604.0,23,24116809705.0,198038739076.0
23236,Z305BS26,4000787030016,0,0.0,0.0,0.0,0.0,0.0,19141,157297.0,16,10608009154.0,36322507931.0
20296,Z305EJ7C,4000787030016,1,16.0,7.0,0.0,8.0,8.0,24751,4292.0,28,40908357672.0,117504652373.0
16515,Z30251BX,4000787030016,0,0.0,0.0,0.0,0.0,0.0,36170,43275.0,30,26179727393.0,171522726269.0
3585,Z302B11W,4000787030016,1,0.0,13.0,0.0,8.0,8.0,29834,51401.0,25,49336755912.0,132443277600.0
13586,Z302STPL,4000787030016,0,0.0,0.0,0.0,0.0,0.0,28492,12876.0,29,50743356896.0,102406052010.0
